# 51842 of 51842
# Minimum x: 0
# Minimum y: 0
# Minimum z: 0
# Maximum x: 141.0981
# Maximum y: 176.00237
# Maximum z: 130.5685
# <local id> <pos x> <pos y> <pos z> <type>
# Number of local subdomains: 1
# Local subdomain 0 boundaries (0, 0, 0) - (141.0981, 176.00237, 130.5685)
# ID, Position (x y z), type 
152 6.877910 60.888240 44.420910 ex
153 6.862840 61.002160 44.220180 ex
154 16.124990 62.091720 53.671570 ex
155 16.451050 64.800640 53.068230 ex
156 20.196990 65.977100 52.891100 ex
157 17.195830 66.054790 53.217120 ex
158 11.907960 62.751570 54.160300 ex
159 9.422570 62.150260 55.852890 ex
160 8.120900 59.852060 66.973120 ex
161 12.562350 59.666440 67.372480 ex
162 9.860190 60.742420 67.162930 ex
163 10.148530 61.888640 66.713920 ex
164 6.386080 61.992570 67.652250 ex
165 14.620850 62.587850 53.620630 ex
166 17.423810 63.611700 53.093380 ex
167 14.788610 64.118520 53.323280 ex
168 11.820130 64.220770 54.297970 ex
169 12.599350 60.405190 66.574030 ex
170 13.782460 59.963840 65.731250 ex
171 15.249480 60.801670 63.891450 ex
172 21.053430 69.040440 53.151710 ex
173 20.144370 74.894370 50.273330 ex
174 24.324260 52.922800 44.920850 ex
175 24.549020 55.196220 43.038200 ex
176 21.424950 63.471550 33.960940 ex
177 23.371340 68.602370 33.372200 ex
178 35.258580 76.263540 41.698250 ex
179 12.829750 58.925110 34.815570 ex
180 21.419660 66.437450 31.773990 ex
181 7.959710 71.566360 37.746860 ex
182 8.153260 72.135030 36.151900 ex
183 8.708290 71.699260 37.760530 ex
184 7.662840 71.800410 37.800670 ex
185 5.482710 70.437490 39.733830 ex
186 6.264170 71.848150 38.564610 ex
187 16.510230 79.730010 43.432420 ex
188 25.987700 77.701580 60.651290 ex
189 17.320610 64.266970 53.242460 ex
190 13.663300 67.377430 55.087900 ex
191 10.023510 67.616880 54.807680 ex
192 9.475830 69.983010 53.550190 ex
193 18.013050 79.189460 43.484660 ex
194 10.353100 64.603630 54.891140 ex
195 13.374410 65.080710 53.906530 ex
196 9.965390 65.978110 54.937120 ex
197 9.120500 63.444800 55.583440 ex
198 16.863400 66.665320 53.456670 ex
199 20.354180 74.854660 50.566610 ex
200 13.236210 77.931760 47.856990 ex
201 13.675520 78.147030 45.389280 ex
